Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX
Date,,,,,,
2020-01-02 00:00:00+00:00,9691.2001953125,9691.2001953125,9705.400390625,9615.099609375,9639.099609375,142379600
2020-01-03 00:00:00+00:00,9646.599609375,9646.599609375,9650.7001953125,9581.2001953125,9631.2001953125,135130000
2020-01-06 00:00:00+00:00,9600.900390625,9600.900390625,9618.2001953125,9492.7001953125,9585.400390625,103520400
2020-01-07 00:00:00+00:00,9579.7998046875,9579.7998046875,9657.900390625,9557.900390625,9623.099609375,133476100
2020-01-08 00:00:00+00:00,9591.400390625,9591.400390625,9604.2998046875,9520.2998046875,9535.099609375,133957600
2020-01-09 00:00:00+00:00,9581.7998046875,9581.7998046875,9644.7998046875,9573.7998046875,9629.2001953125,151793500
2020-01-10 00:00:00+00:00,9573.599609375,9573.599609375,9623.599609375,9557.900390625,9611.2998046875,132894500
2020-01-13 00:00:00+00:00,9543.900390625,9543.900390625,9586.599609375,9507.400390625,9586.599609375,124149000
2020-01-14 00:00:00+00:00,9528.2998046875,9528.2998046875,9548.400390625,9466.0,9548.099609375,143774600
2020-01-15 00:00:00+00:00,9511.7001953125,9511.7001953125,9530.2001953125,9475.0,9521.2001953125,161995000
2020-01-16 00:00:00+00:00,9572.5,9572.5,9579.5,9481.599609375,9516.7001953125,133841500
2020-01-17 00:00:00+00:00,9681.2998046875,9681.2998046875,9709.900390625,9611.2998046875,9616.099609375,159823200
2020-01-20 00:00:00+00:00,9658.7998046875,9658.7998046875,9680.900390625,9623.099609375,9676.599609375,99959200
2020-01-21 00:00:00+00:00,9611.2998046875,9611.2998046875,9620.7001953125,9550.0,9593.400390625,126448800
2020-01-22 00:00:00+00:00,9573.7001953125,9573.7001953125,9632.7998046875,9557.0,9622.0,134567800
2020-01-23 00:00:00+00:00,9518.5,9518.5,9604.7001953125,9499.2998046875,9549.400390625,169141000
2020-01-24 00:00:00+00:00,9562.0,9562.0,9639.900390625,9552.5,9576.7998046875,154731100
2020-01-27 00:00:00+00:00,9366.2998046875,9366.2998046875,9482.7998046875,9357.7998046875,9447.099609375,164515500
2020-01-28 00:00:00+00:00,9484.2001953125,9484.2001953125,9488.0,9363.7998046875,9401.7998046875,154919400
2020-01-29 00:00:00+00:00,9546.7001953125,9546.7001953125,9574.2998046875,9510.7001953125,9532.7001953125,187145800
2020-01-30 00:00:00+00:00,9477.900390625,9477.900390625,9528.400390625,9439.2998046875,9460.7998046875,164094200
2020-01-31 00:00:00+00:00,9367.900390625,9367.900390625,9545.099609375,9365.099609375,9519.2998046875,303553700
2020-02-03 00:00:00+00:00,9404.7001953125,9404.7001953125,9431.599609375,9361.5,9404.400390625,168665700
2020-02-04 00:00:00+00:00,9562.900390625,9562.900390625,9577.2998046875,9462.400390625,9465.900390625,174133900
2020-02-05 00:00:00+00:00,9717.7998046875,9717.7998046875,9721.900390625,9540.2001953125,9553.400390625,221922900
2020-02-06 00:00:00+00:00,9811.2998046875,9811.2998046875,9816.2001953125,9757.0,9767.099609375,248416700
2020-02-07 00:00:00+00:00,9811.0,9811.0,9816.2001953125,9761.7998046875,9789.2998046875,179586900
2020-02-10 00:00:00+00:00,9816.0,9816.0,9820.400390625,9773.5,9790.599609375,132132500
2020-02-11 00:00:00+00:00,9882.599609375,9882.599609375,9884.0,9817.7998046875,9863.400390625,167628300
2020-02-12 00:00:00+00:00,9940.400390625,9940.400390625,9946.599609375,9888.599609375,9897.900390625,199830200
2020-02-13 00:00:00+00:00,9909.7998046875,9909.7998046875,9910.099609375,9794.2998046875,9893.900390625,161753500
2020-02-14 00:00:00+00:00,9956.7998046875,9956.7998046875,9969.7001953125,9905.2001953125,9910.900390625,127061800
2020-02-17 00:00:00+00:00,10022.2001953125,10022.2001953125,10022.2001953125,9955.2001953125,9979.2001953125,105784200
2020-02-18 00:00:00+00:00,10005.7998046875,10005.7998046875,10041.5,9967.7998046875,9977.400390625,184042000
2020-02-19 00:00:00+00:00,10083.599609375,10083.599609375,10100.2001953125,10020.7001953125,10042.0,151866100
2020-02-20 00:00:00+00:00,9931.0,9931.0,10050.2998046875,9931.0,10048.7001953125,178849000
2020-02-21 00:00:00+00:00,9886.2001953125,9886.2001953125,9946.400390625,9843.5,9893.0,194954500
2020-02-24 00:00:00+00:00,9483.5,9483.5,9676.7998046875,9459.599609375,9649.7998046875,256063800
2020-02-25 00:00:00+00:00,9250.7998046875,9250.7998046875,9518.900390625,9248.0,9507.0,263346200
2020-02-26 00:00:00+00:00,9316.7998046875,9316.7998046875,9362.7998046875,9030.7001953125,9213.0,299256300
2020-02-27 00:00:00+00:00,8985.900390625,8985.900390625,9204.400390625,8877.400390625,9182.2001953125,341792600
2020-02-28 00:00:00+00:00,8723.2001953125,8723.2001953125,8818.599609375,8582.7001953125,8748.099609375,497983900
2020-03-02 00:00:00+00:00,8741.5,8741.5,8913.5,8541.099609375,8910.2001953125,355485000
2020-03-03 00:00:00+00:00,8811.599609375,8811.599609375,9014.2998046875,8776.400390625,8860.2001953125,351219900
2020-03-04 00:00:00+00:00,8910.0,8910.0,8963.7001953125,8745.900390625,8827.7998046875,321258300
2020-03-05 00:00:00+00:00,8683.0,8683.0,8962.5,8639.900390625,8960.7998046875,342803500
2020-03-06 00:00:00+00:00,8375.599609375,8375.599609375,8542.0,8310.400390625,8532.599609375,345901100
2020-03-09 00:00:00+00:00,7708.7001953125,7708.7001953125,8022.89990234375,7621.39990234375,7884.0,598769200
2020-03-10 00:00:00+00:00,7461.5,7461.5,8007.7001953125,7440.60009765625,7815.60009765625,506034000
2020-03-11 00:00:00+00:00,7436.39990234375,7436.39990234375,7717.10009765625,7364.60009765625,7589.2998046875,369150100
2020-03-12 00:00:00+00:00,6390.89990234375,6390.89990234375,7077.7001953125,6347.0,7040.7998046875,723609100
2020-03-13 00:00:00+00:00,6629.60009765625,6629.60009765625,7140.5,6468.2998046875,6763.7001953125,473165800
2020-03-16 00:00:00+00:00,6107.2001953125,6107.2001953125,6362.5,5814.5,6331.0,583614700
2020-03-17 00:00:00+00:00,6498.5,6498.5,6557.2998046875,6083.0,6444.5,388451800
2020-03-18 00:00:00+00:00,6274.7998046875,6274.7998046875,6524.2001953125,6174.10009765625,6370.5,398609500
2020-03-19 00:00:00+00:00,6395.7998046875,6395.7998046875,6506.39990234375,6228.2998046875,6368.2001953125,346225500
2020-03-20 00:00:00+00:00,6443.2998046875,6443.2998046875,6769.89990234375,6371.10009765625,6645.39990234375,486796200
2020-03-23 00:00:00+00:00,6230.2001953125,6230.2001953125,6472.0,6148.0,6223.7001953125,282033200
2020-03-24 00:00:00+00:00,6717.2998046875,6717.2998046875,6717.2998046875,6403.60009765625,6433.2998046875,301211900
